,id,name,other_information,permalink,rectype
9,2913,"TIGERSHARK MANAGEMENT, LLC",Last 13F Filed on 2015-03-31,tigershark-partners-llc,filer
9,292734,"MUIRFIELD VALUE PARTNERS, LP/PORTFOLIO E",No 13F filings,muirfield-value-partners-lpportfolio-e,filer
9,293570,"Magnolia Infrastructure Partners, LLC",No 13F filings,magnolia-infrastructure-partners-llc,filer
9,295374,PIPER PARTNERSHIP,No 13F filings,piper-partnership,filer
9,296496,"PANORAMA (ZEUS), LLC",No 13F filings,panorama-zeus-llc,filer
9,299175,"BERGEN ASSET MANAGEMENT, LLC",No 13F filings,bergen-asset-management-llc,filer
9,306780,"VISIUM HEALTHCARE PARTNERS, LP",No 13F filings,visium-healthcare-partners-lp,filer
9,309000,MONROE TERILYN J.,No 13F filings,monroe-terilyn-j,filer
9,311644,DUET COMMODITIES FUND LTD,No 13F filings,duet-commodities-fund-ltd,filer
9,3137,WELLINGTON HG & CO INC,Last 13F Filed on 2010-09-30,wellington-hg-co-inc-ny,filer
9,3154,WESTERN ASSET MANAGEMENT COMPANY,Last 13F Filed on 2015-09-30,western-asset-management-co,filer
9,31992,Emerald Medical Applications Corp.,No 13F filings,zaxis-international-inc,filer
9,33549,Dunn Mervin,No 13F filings,dunn-mervin,filer
9,38030,"Grand Canyon Education, Inc.",No 13F filings,grand-canyon-education-inc,filer
9,38069,GOLDMAN DAVID,No 13F filings,goldman-david,filer
9,39548,CVC CALIFORNIA LLC,No 13F filings,cvc-california-llc,filer
9,46350,BEACHY DAVID J,No 13F filings,beachy-david-j,filer
9,49367,QUINN ROSEMARY,No 13F filings,quinn-rosemary,filer
9,50775,TUDOR ROBERT B III,No 13F filings,tudor-robert-b-iii,filer
9,5584,Market Vectors - Agribusiness ETF,MOO ,moo,stock
9,61335,GLAZER LINDA,No 13F filings,glazer-linda,filer
9,625,CHILTON CAPITAL MANAGEMENT LLC,Last 13F Filed on 2015-09-30,chilton-capital-management-llc,filer
9,63987,HAINES SHARON A,No 13F filings,haines-sharon-a,filer
9,6470,Global Sources Ltd,GSOL ,gsol,stock
9,6528,Ultra QQQ Proshares ETF,QLD ,qld,stock
9,66214,MUNSON ALDEN V. JR.,No 13F filings,munson-alden-v-jr,filer
9,70001,Carlson Randolph K,No 13F filings,carlson-randolph-k,filer
9,7054,China Unicom (Hong Kong) Ltd ,CHU ,chu,stock
9,72740,"GOLUB CAPITAL BDC, INC.",No 13F filings,golub-capital-bdc-inc,filer
9,74042,SANDLER REUBEN,No 13F filings,sandler-reuben,filer
9,7423,Omega Protein Corp ,OME ,ome,stock
9,7743,Allianz SE ADR,AZSEY ,az,stock
9,78353,SKYBRIDGE MULTI-ADVISER HEDGE FUND PORTFOLIOS LLC,No 13F filings,citigroup-alternative-investments-multi-adv-hedge-fu-por-llc,filer
9,79639,"PARALLAX HEALTH SCIENCES, INC.",No 13F filings,endeavor-power-corp,filer
9,8066,Merchants Bancshares Inc,MBVT ,mbvt,stock
9,82318,PEMBLE LAWRENCE,No 13F filings,pemble-lawrence,filer
9,82613,Brookfield Residential Properties Inc.,No 13F filings,brookfield-residential-properties-inc,filer
9,82790,VIRTUS OPPORTUNITIES TRUST,No 13F filings,virtus-opportunities-trust,filer
9,8307,PHASE FORWARD INC,No 13F filings,phase-forward-inc,filer
9,85884,COMMONWEALTH OPPORTUNITY CAPITAL LP,No 13F filings,commonwealth-opportunity-capital-lp,filer
9,86382,KLS DIVERSIFIED FUND LP,No 13F filings,kls-diversified-fund-lp,filer
9,8657,BOSTON AVENUE CAPITAL LLC,No 13F filings,boston-avenue-capital,filer
9,87237,"EJF GREATER CHINA FUND, LP",No 13F filings,ejf-greater-china-fund-lp,filer
9,87415,MS STRUCTURED ASSET CORP,No 13F filings,ms-structured-asset-corp,filer
9,88846,COLELLA SAMUEL D,No 13F filings,colella-samuel-d,filer
9,8890,Reading International Inc Class A,RDI ,rdi,stock
9,93177,NEUBERGER BERMAN ALTERNATIVE FUNDS,No 13F filings,neuberger-berman-alternative-funds,filer
9,94554,OPUS INVESTMENT ADVISORS LLC,Last 13F Filed on 2005-09-30,opus-investment-advisors-llc,filer
9,94629,FORTRESS INVESTMENT HOLDINGS LLC,Last 13F Filed on 2006-09-30,fortress-investment-holdings-llc,filer
9,94738,PASSPORT ENERGY FUND LP,No 13F filings,passport-energy-fund-lp,filer
9,9610,CHESAPEAKE ENERGY CORP,No 13F filings,chesapeake-energy-corp,filer
9,96735,OLDHAM STEVEN C,No 13F filings,oldham-steven-c,filer
9,97979,JASPER WIRELESS INC,No 13F filings,jasper-wireless-inc,filer
9,9882,Rave Restrnt Grp,RAVE ,pzzi,stock
